# Miasta (id | nazwa | wsp. x | wsp. y )
1 | Warszawa | 30 | 35
2 | Gdańsk | 25 | 52
3 | Kraków | 31 | 20
4 | Wrocław | 10 | 15
5 | Poznań | 2 | 35
6 | Białystok | 50 | 40
7 | Szczecin | 5 | 45
8 | Rzeszów | 40 | 15
9 | Zakopane | 29 | 5
10 | Lodz | 16 | 30
# Drogi (id | id_szpitala | id_szpitala | odleg)
1 | 1 | 2 | 700
2 | 1 | 3 | 550
3 | 1 | 5 | 800
4 | 1 | 6 | 300
5 | 2 | 7 | 550
6 | 2 | 6 | 600
7 | 4 | 5 | 750
8 | 5 | 7 | 750
9 | 6 | 8 | 750
10| 3 | 4 | 500
11 | 3 | 8 |100
12 | 9 | 8 |200
13 |9 | 3 |100
14 |1|10|300
15|10|3|300
16|10|4|300
17|10|5|300
